Country or area,Year,Total fertility per woman,15-19,20-24,25-29,30-34,35-39,40-44,45-49,Mean age at child- bearing,Year,Total fertility per woman,15-19,20-24,25-29,30-34,35-39,40-44,45-49,Mean age at child- bearing
Anguilla,1984,2.9,102,153,147,112,41,26,0,26.8,2006,1.6,40,90,69,56,56,10,0,27.9
Antigua and Barbuda,1972,2.4,97,135,104,69,59,20,4,26.8,2001,2.0,67,94,88,79,56,19,1,27.8
Aruba,1972,2.5,40,131,148,107,54,23,2,28.3,2006,1.7,43,101,97,54,37,9,0,27.0
Bahamas,1970,3.4,75,198,182,111,82,33,4,27.8,2005,2.1,43,104,115,84,51,14,1,28.0
Barbados,1970,3.0,91,161,154,100,59,24,4,27.2,2003,1.8,51,98,87,76,39,10,1,27.3
Cayman Islands,1970,4.2,107,143,183,204,111,74,27,29.9,1994,1.7,59,95,89,78,22,0,0,26.2
Cuba,1970,3.7,128,228,165,117,74,26,0,26.5,2006,1.4,42,89,73,49,21,4,0,26.3
Dominica,1969,6.1,172,289,307,187,178,73,19,28.3,2003,2.1,48,111,75,89,70,25,1,28.7
Dominican Republic,1969,6.2,76,265,296,269,203,92,40,30.3,2005,2.6,98,159,138,73,38,9,1,25.8
Grenada,1969,4.6,126,247,222,173,112,43,5,27.8,2000,2.5,53,107,133,114,64,27,0,28.6
Guadeloupe,1970,4.6,65,197,232,209,139,64,9,29.6,2004,2.3,21,76,148,122,69,23,1,29.9
Haiti,1971,5.7,37,198,272,258,201,116,59,31.8,2003,4.0,69,158,176,180,133,65,15,30.0
Jamaica,1970,5.6,167,302,268,190,127,47,8,27.4,2006,1.9,58,98,95,75,45,16,0,27.5
Martinique,1970,4.4,59,191,232,191,130,68,7,29.6,2004,1.9,21,61,116,107,62,17,1,29.9
Netherlands Antilles,1971,3.1,49,151,169,130,83,30,4,28.7,2004,1.9,41,96,104,81,42,10,0,27.7
Puerto Rico,1970,3.2,72,194,182,103,56,21,3,27.1,2005,1.7,60,105,92,58,24,5,0,26.0
Saint Kitts and Nevis,1970,5.1,147,255,258,183,136,38,0,27.6,2001,2.1,74,127,88,83,37,8,0,26.4
Saint Lucia,1970,6.3,159,324,349,254,134,36,3,27.5,2004,1.6,49,75,76,67,42,17,0,27.9
Saint Vincent and the Grenadines,1970,6.1,181,345,286,217,136,52,6,27.3,2003,1.8,57,88,82,71,45,16,2,27.7
Trinidad and Tobago,1971,3.6,85,200,194,132,83,28,4,27.7,2002,1.6,35,96,91,63,32,8,0,27.3
United States Virgin Islands,1970,5.3,228,288,250,160,95,31,4,26.2,2002,2.3,54,141,126,86,46,11,1,27.1
Belize,1970,6.3,142,309,302,239,173,75,9,28.5,2002,3.4,90,193,169,127,76,29,4,27.5
Costa Rica,1970,4.9,103,237,231,188,144,69,13,29.0,2006,1.9,63,108,96,69,35,9,0,26.6
El Salvador,1971,6.1,148,301,281,233,173,72,19,28.6,2006,1.8,67,101,84,58,35,13,2,26.6
Guatemala,1970,5.8,133,279,261,217,172,70,17,28.8,2006,3.6,92,174,167,131,96,46,10,28.5
Honduras,1972,7.5,171,317,339,307,221,127,18,29.3,2003,3.4,108,174,158,122,77,34,6,27.6
Mexico,1970,6.6,92,287,315,257,218,144,0,30.0,2006,2.7,82,157,138,94,50,16,2,26.8
Nicaragua,1971,6.0,101,263,280,241,192,90,33,29.8,2005,2.7,109,144,127,90,51,19,6,26.7
Panama,1970,5.1,132,275,247,184,123,44,9,27.8,2006,2.4,85,139,118,86,46,13,1,26.6
Argentina,1970,3.1,65,157,170,118,71,27,6,28.1,2006,2.3,62,109,108,98,60,17,1,27.9
Bolivia (Plurinational State of),1975,6.8,77,254,356,300,215,103,57,30.7,2006,3.6,88,174,173,128,95,43,8,28.4
Brazil,1970,5.2,53,228,290,243,144,61,11,29.5,2006,1.7,56,95,84,61,33,11,1,26.9
Chile,1970,3.6,72,184,186,138,84,43,7,28.4,2005,1.8,49,83,92,81,46,13,1,28.0
Colombia,1973,4.6,65,207,213,183,145,72,24,30.0,2005,2.5,96,137,115,83,47,16,2,26.5
Ecuador,1970,5.9,83,274,285,225,199,89,25,29.8,2002,3.3,100,177,154,119,73,29,3,27.4
French Guiana,1970,5.0,138,309,204,184,114,52,4,27.5,2004,3.7,84,171,224,147,90,27,3,28.0
Guyana,1970,5.0,108,280,249,187,122,45,6,28.0,2003,2.7,90,159,126,85,53,14,3,26.6
Paraguay,1972,5.9,63,228,273,253,210,117,28,30.8,2003,3.0,65,150,142,122,69,36,15,28.7
Peru,1969,6.2,87,255,324,273,176,76,45,29.9,2004,2.6,59,125,121,107,70,25,5,28.5
Uruguay,1970,2.7,63,148,142,105,57,24,3,27.8,2006,2.0,63,91,99,92,48,13,1,27.7
Venezuela (Bolivarian Republic of),1970,5.7,112,281,288,211,167,62,13,28.7,2005,2.7,91,152,128,88,50,18,4,26.8
Bermuda,1975,1.9,62,96,112,66,27,7,1,26.5,2003,2.0,40,66,109,120,63,0,0,28.8
Canada,1970,2.3,42,138,143,79,38,11,1,27.2,2006,1.6,14,52,100,101,46,7,0,29.6
Greenland,1970,3.5,114,205,164,105,68,36,3,27.0,2006,2.3,52,127,143,87,35,8,0,27.0
United States of America,1970,2.5,63,168,145,73,32,8,1,26.2,2006,2.1,41,103,118,94,48,9,1,27.9
