165.8,88.7,31.8,28.1,18.7,40.3,38.9,6.7,88.4,96.5
169.8,90,32.4,29.1,18.3,43.3,42.7,6.4,89.8,98.6
170.7,87.7,33.6,29.5,20.7,43.7,41.1,7.2,87.8,94.1
170.9,87.1,31,28.2,18.6,43.7,40.6,6.7,91,92.9
157.5,81.3,32.1,27.3,17.5,38.1,39.6,6.6,85,103.9
165.9,88.2,31.8,29,18.6,42,40.6,6.5,91.2,96.7
158.7,86.1,30.6,27.8,18.4,40,37,5.9,90.8,92.5
166,88.7,30.2,26.9,17.5,41.6,39,5.9,89.1,93.8
158.7,83.7,31.1,27.1,18.3,38.9,37.5,6.1,87.1,96.4
161.5,81.2,32.3,27.8,19.1,42.8,40.1,6.2,86.1,93.7
167.3,88.6,34.8,27.3,18.3,43.1,41.8,7.3,78.4,97
167.4,83.2,34.3,30.1,19.2,43.4,42.2,6.8,87.8,97.2
159.2,81.5,31,27.3,17.5,39.8,39.6,4.9,88.1,99.5
170,87.9,34.2,30.9,19.4,43.1,43.7,6.3,90.4,101.4
166.3,88.3,30.6,28.8,18.3,41.8,41,5.9,94.1,98.1
169,85.6,32.6,28.8,19.1,42.7,42,6,88.3,98.4
156.2,81.6,31,25.6,17,44.2,39,5.1,82.6,88.2
159.6,86.6,32.7,25.4,17.7,42,37.5,5,77.7,89.3
155,82,30.3,26.6,17.3,37.9,36.1,5.2,87.8,95.3
161.1,84.1,29.5,26.6,17.8,38.6,38.2,5.9,90.2,99
170.3,88.1,34,29.3,18.2,43.2,41.4,5.9,86.2,95.8
167.8,83.9,32.5,28.6,20.2,43.3,42.9,7.2,88,99.1
163.1,88.1,31.7,26.9,18.1,40.1,39,5.9,84.9,97.3
165.8,87,33.2,26.3,19.5,43.2,40.7,5.9,79.2,94.2
175.4,89.6,35.2,30.1,19.1,45.1,44.5,6.3,85.5,98.7
159.8,85.6,31.5,27.1,19.2,42.3,39,5.7,86,92.2
166,84.9,30.5,28.1,17.8,41.2,43,6.1,92.1,104.4
161.2,84.1,32.8,29.2,18.4,42.6,41.1,5.9,89,96.5
160.4,84.3,30.5,27.8,16.8,41,39.8,6,91.1,97.1
164.3,85,35,27.8,19,47.2,42.4,5,79.4,89.8
165.5,82.6,36.2,28.6,20.2,45,42.3,5.6,79,94
167.2,85,33.6,27.1,19.8,46,41.6,5.6,80.7,90.4
167.2,83.4,33.5,29.7,19.4,45.2,44,5.2,88.7,97.3
